source,target,score,win,date
0,1,93.75,1,6/26/2022
2,3,21.875,0,6/26/2022
4,5,59.375,0,6/26/2022
6,7,21.875,0,6/26/2022
8,9,59.375,0,6/26/2022
10,11,21.875,0,6/26/2022
12,13,21.875,0,6/26/2022
14,15,78.125,0,6/26/2022
16,17,78.125,0,6/26/2022
18,19,21.875,0,6/26/2022
20,21,59.375,0,6/26/2022
22,23,21.875,0,6/26/2022
24,25,87.5,0,6/26/2022
26,27,21.875,0,6/26/2022
28,29,59.375,0,6/26/2022
30,31,21.875,0,6/26/2022
1,25,21.875,0,7/2/2022
17,16,59.375,0,7/2/2022
32,33,21.875,0,7/2/2022
2,34,78.125,0,7/2/2022
35,36,59.375,0,7/2/2022
14,8,21.875,0,7/2/2022
37,0,93.75,1,7/2/2022
38,18,21.875,0,7/2/2022
28,39,78.125,0,7/2/2022
29,6,21.875,0,7/2/2022
40,41,21.875,0,7/2/2022
12,13,59.375,0,7/2/2022
20,21,21.875,0,7/2/2022
42,43,87.5,0,7/2/2022
24,10,59.375,0,7/2/2022
30,31,21.875,0,7/2/2022
40,44,21.875,0,7/11/2022
40,45,21.875,0,7/11/2022
44,45,21.875,0,7/11/2022
30,29,59.375,0,7/11/2022
30,46,59.375,0,7/11/2022
29,46,59.375,0,7/11/2022
36,28,21.875,0,7/11/2022
36,39,21.875,0,7/11/2022
28,39,21.875,0,7/11/2022
47,43,93.75,1,7/11/2022
47,48,93.75,1,7/11/2022
43,48,93.75,1,7/11/2022
49,14,59.375,0,7/11/2022
49,50,59.375,0,7/11/2022
14,50,59.375,0,7/11/2022
16,51,21.875,0,7/11/2022
16,52,21.875,0,7/11/2022
51,52,21.875,0,7/11/2022
0,11,78.125,0,7/11/2022
0,9,78.125,0,7/11/2022
11,9,78.125,0,7/11/2022
13,12,21.875,0,7/11/2022
13,31,21.875,0,7/11/2022
12,31,21.875,0,7/11/2022
24,25,21.875,0,7/11/2022
24,42,21.875,0,7/11/2022
25,42,21.875,0,7/11/2022
53,54,78.125,0,7/11/2022
53,27,78.125,0,7/11/2022
54,27,78.125,0,7/11/2022
15,5,21.875,0,7/11/2022
15,55,21.875,0,7/11/2022
5,55,21.875,0,7/11/2022
38,35,59.375,0,7/11/2022
38,6,59.375,0,7/11/2022
35,6,59.375,0,7/11/2022
56,57,21.875,0,7/11/2022
56,58,21.875,0,7/11/2022
57,58,21.875,0,7/11/2022
33,59,59.375,0,7/11/2022
33,32,59.375,0,7/11/2022
59,32,59.375,0,7/11/2022
1,10,87.5,0,7/11/2022
1,37,87.5,0,7/11/2022
10,37,87.5,0,7/11/2022
60,2,21.875,0,7/11/2022
60,61,21.875,0,7/11/2022
2,61,21.875,0,7/11/2022
30,62,59.375,0,7/18/2022
30,29,59.375,0,7/18/2022
62,29,59.375,0,7/18/2022
